City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Havre-Saint-Pierre,CA,2021-02-04 15:58:42,50.2334,-63.5986,33.8,86,90,8.05
160,Juneau,US,2021-02-04 15:58:42,58.3019,-134.4197,30.0,93,90,3.38
161,Isangel,VU,2021-02-04 15:58:43,-19.55,169.2667,78.04,81,95,7.63
162,North Platte,US,2021-02-04 15:58:43,41.1239,-100.7654,28.99,74,1,9.22
163,Port Macquarie,AU,2021-02-04 15:53:57,-31.4333,152.9167,66.99,99,80,7.27
164,Sakakah,SA,2021-02-04 15:58:43,29.9697,40.2064,59.0,82,75,8.05
165,Rio Verde De Mato Grosso,BR,2021-02-04 15:58:43,-18.9181,-54.8442,89.98,54,63,7.76
166,Pangnirtung,CA,2021-02-04 15:58:43,66.1451,-65.7125,-7.6,71,90,2.3
167,Port-Gentil,GA,2021-02-04 15:57:08,-0.7193,8.7815,87.8,70,40,10.36
168,Urucara,BR,2021-02-04 15:58:43,-2.5364,-57.76,91.4,53,83,4.43
169,Rincon,US,2021-02-04 15:58:44,32.296,-81.2354,51.01,57,90,4.41
170,Latung,PH,2021-02-04 15:58:44,5.5,120.8833,81.3,79,42,7.47
171,Nsanje,MW,2021-02-04 15:58:44,-16.92,35.262,83.32,79,95,3.51
172,Kamenka,RU,2021-02-04 15:58:44,51.3223,42.7678,36.0,97,100,8.21
173,Grindavik,IS,2021-02-04 15:58:44,63.8424,-22.4338,37.4,87,75,28.77
174,San Fernando,PH,2021-02-04 15:58:44,15.0286,120.6898,75.2,78,40,2.3
175,Saint Anthony,US,2021-02-04 15:58:45,45.0205,-93.218,26.6,86,90,16.11
176,Tual,ID,2021-02-04 15:58:45,-5.6667,132.75,83.3,77,97,21.5
177,Geraldton,AU,2021-02-04 15:58:45,-28.7667,114.6,78.8,29,100,19.57
178,Fort Nelson,CA,2021-02-04 15:58:45,58.8053,-122.7002,-14.8,70,75,4.61
179,Faanui,PF,2021-02-04 15:58:45,-16.4833,-151.75,80.92,67,6,4.54
180,Antalaha,MG,2021-02-04 15:58:45,-14.9003,50.2788,78.3,87,61,3.91
181,Ejido,VE,2021-02-04 15:58:46,8.5514,-71.2375,83.16,30,63,5.26
182,Sal Rei,CV,2021-02-04 15:58:46,16.1833,-22.9167,73.4,68,75,20.71
183,Nanortalik,GL,2021-02-04 15:58:31,60.1432,-45.2371,22.19,81,100,5.53
184,Buraydah,SA,2021-02-04 15:58:46,26.326,43.975,77.0,29,40,6.91
185,Noumea,NC,2021-02-04 15:55:58,-22.2763,166.4572,80.01,100,90,1.14
186,Wanaka,NZ,2021-02-04 15:58:46,-44.7,169.15,51.01,72,16,1.01
187,Bystrzyca Klodzka,PL,2021-02-04 15:58:47,50.3018,16.6423,44.01,81,100,2.62
188,Tarrega,ES,2021-02-04 15:57:13,41.647,1.1396,64.0,62,92,4.0
189,Chuy,UY,2021-02-04 15:58:47,-33.6971,-53.4616,73.15,61,97,21.09
190,Burns Lake,CA,2021-02-04 15:58:47,54.2331,-125.7533,8.6,92,100,2.3
191,Lithakia,GR,2021-02-04 15:58:47,37.7167,20.8333,60.8,77,40,4.16
192,Mehamn,NO,2021-02-04 15:58:47,71.0357,27.8492,32.0,69,75,16.11
193,Wanning,CN,2021-02-04 15:58:47,18.8003,110.3967,69.01,79,87,5.57
194,Penzance,GB,2021-02-04 15:57:16,50.1186,-5.5371,48.99,93,40,9.22
195,Bagdarin,RU,2021-02-04 15:58:48,54.4333,113.6,-10.34,85,21,3.44
196,Haimen,CN,2021-02-04 15:58:48,23.1935,116.6142,62.6,72,0,4.47
197,Puerto Ayora,EC,2021-02-04 15:58:06,-0.7393,-90.3518,84.2,65,0,14.97
198,Sargatskoye,RU,2021-02-04 15:58:48,55.6101,73.4972,6.71,94,99,4.09
199,Hithadhoo,MV,2021-02-04 15:58:48,-0.6,73.0833,82.71,75,89,10.83
200,Ahipara,NZ,2021-02-04 15:55:56,-35.1667,173.1667,59.38,87,5,4.54
