City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Teodoro Sampaio,BR,-22.5325,-52.1675,82.49,57,0,5.93,clear sky
274,Longyan,CN,25.1072,117.0225,58.33,72,0,1.3,clear sky
275,Mahdasht,IR,35.7299,50.8111,42.8,93,90,4.61,mist
276,Bansko,BG,41.8383,23.4885,46.22,61,92,3.8,overcast clouds
277,Ponta Delgada,PT,37.7333,-25.6667,60.8,77,75,16.11,broken clouds
278,Finschhafen,PG,-6.6024,147.8681,81.45,79,90,5.59,overcast clouds
279,Pacifica,US,37.6138,-122.4869,52.0,81,20,3.44,few clouds
280,Swan Hill,AU,-35.3378,143.5544,58.41,62,90,11.65,overcast clouds
281,Bac Lieu,VN,9.285,105.7244,76.55,81,99,14.23,overcast clouds
282,Cotonou,BJ,6.3654,2.4183,89.6,70,20,14.97,few clouds
283,Zilair,RU,52.2332,57.4392,-3.44,91,100,13.15,overcast clouds
284,Catalina Foothills,US,32.2979,-110.9187,57.99,32,1,5.75,clear sky
285,Boguchany,RU,58.3814,97.4531,21.24,96,98,5.82,overcast clouds
286,Mareeba,AU,-17.0,145.4333,81.0,94,40,9.22,scattered clouds
287,Denizli,TR,37.8402,29.0698,57.2,51,0,10.36,clear sky
288,Evora,PT,38.5667,-7.9,51.8,87,75,11.5,broken clouds
289,Victoria,HK,22.2855,114.1577,68.0,81,0,1.01,clear sky
290,Terrell,US,32.736,-96.2753,43.0,87,90,6.91,overcast clouds
291,Nantucket,US,41.2835,-70.0995,37.4,93,90,18.41,light rain
292,Hoopstad,ZA,-27.8327,25.9083,78.51,50,7,2.1,clear sky
293,Sault Sainte Marie,CA,46.5168,-84.3333,8.6,61,1,14.97,light snow
294,Georgetown,MY,5.4112,100.3354,84.99,83,20,3.44,few clouds
295,Broome,US,42.2506,-75.833,33.01,93,90,12.66,snow
296,Beian,NO,63.6559,9.5683,23.0,86,40,6.91,scattered clouds
297,Hithadhoo,MV,-0.6,73.0833,82.02,73,52,11.77,broken clouds
298,Miandrivazo,MG,-19.5167,45.4667,80.1,81,91,4.54,moderate rain
299,Cape Town,ZA,-33.9258,18.4232,71.6,53,0,25.32,clear sky
300,Samarai,PG,-10.6167,150.6667,82.11,78,47,5.61,scattered clouds
301,Husavik,IS,66.0449,-17.3389,33.8,69,75,4.61,broken clouds
302,New Norfolk,AU,-42.7826,147.0587,55.4,58,90,9.22,overcast clouds
303,Bandipur,NP,27.9333,84.4167,46.22,79,0,2.71,clear sky
304,Harnosand,SE,62.6323,17.9379,21.2,79,0,8.05,clear sky
305,Vidim,RU,56.4088,103.1106,16.84,94,100,7.25,overcast clouds
306,Quatre Cocos,MU,-20.2078,57.7625,81.0,78,20,10.36,light rain
307,Sacramento,US,38.4666,-121.3177,44.01,93,1,3.47,mist
308,San Quintin,MX,30.4833,-115.95,61.57,60,0,3.65,clear sky
309,Gao,ML,16.6362,1.637,89.31,12,96,3.83,overcast clouds
310,Fort Nelson,CA,58.8053,-122.7002,-34.6,67,40,4.61,scattered clouds
311,Aksu,CN,41.1231,80.2644,34.11,74,100,1.92,snow
312,Chaykovskaya,RU,58.1279,55.5378,-0.4,78,75,17.9,light snow
313,Mikun,RU,62.3547,50.0771,-18.72,85,100,9.89,overcast clouds
314,Dingle,PH,10.9995,122.6711,75.78,90,100,8.61,moderate rain
315,Bara,NG,10.3744,10.7288,88.45,13,65,7.67,broken clouds
316,Westport,US,41.1415,-73.3579,30.99,86,90,14.97,heavy snow
317,Huarmey,PE,-10.0681,-78.1522,76.24,61,92,8.39,overcast clouds
318,Alofi,NU,-19.0595,-169.9187,77.0,94,80,4.61,broken clouds
319,Port Hedland,AU,-20.3167,118.5667,78.8,73,40,9.22,scattered clouds
320,Cap Malheureux,MU,-19.9842,57.6142,81.0,76,67,5.01,broken clouds
321,Kudahuvadhoo,MV,2.6708,72.8944,81.84,73,45,15.75,scattered clouds
322,Eyl,SO,7.9803,49.8164,77.29,72,0,19.04,clear sky
323,Mapiripan,CO,2.8892,-72.1256,85.14,71,82,7.54,broken clouds
324,Coihaique,CL,-45.5752,-72.0662,66.2,48,20,8.05,few clouds
